Brand Name,Device Type,Model Name,Selling Price,Rating (Out of 5)
Xiaomi,FitnessBand,Smart Band 3i,"1,270",4.2
realme,FitnessBand,Band,"1,290",4.0
Xiaomi,FitnessBand,Band - HRX Edition,"1,299",4.2
realme,FitnessBand,Smart band,"1,450",4.0
realme,FitnessBand,Band,"1,499",4.0
Infinix,FitnessBand,Band 5,"1,499",3.8
Honor,FitnessBand,band 4 running,"1,649",3.2
Huawei,FitnessBand,Band 2,"1,699",4.1
Noise,FitnessBand,ColorFit2,"1,699",3.9
LCARE,FitnessBand,Mambo,"1,699",3.8
Xiaomi,FitnessBand,HMSH01GE,"1,722",3.5
Xiaomi,FitnessBand,Band 3,"1,799",4.3
Honor,FitnessBand,Band 5i,"1,799",4.2
Huawei,FitnessBand,Band 4,"1,899",4.2
LAVA,FitnessBand,BeFit,"1,999",3.6
FitBit,Smartwatch,Versa Special Edition,"10,365",4.1
FitBit,FitnessBand,Lunar,"10,899",4.7
FitBit,FitnessBand,Charge 4,"10,999",4.2
FitBit,Smartwatch,Versa 2,"11,999",4.3
Xiaomi,Smartwatch,Revolve,"12,349",4.4
Xiaomi,Smartwatch,RevolveActive,"12,999",4.4
FitBit,FitnessBand,Alta,"12,999",4.1
FitBit,Smartwatch,Versa 2,"13,499",4.3
FitBit,Smartwatch,Versa Lite Edition,"14,399",4.2
FitBit,FitnessBand,Charge HR,"14,990",3.9
Oppo,Smartwatch,46 mm,"14,990",3.9
FitBit,FitnessBand,Charge 2,"14,999",4.4
FitBit,FitnessBand,Charge 2,"14,999",4.4
FitBit,FitnessBand,Alta HR,"14,999",4.3
FitBit,FitnessBand,Charge 2,"14,999",4.3
FitBit,FitnessBand,Charge 2,"14,999",4.3
FitBit,Smartwatch,Versa 2 Special Edition,"15,499",4.4
FitBit,Smartwatch,Versa,"16,124",4.1
FitBit,Smartwatch,Versa,"16,990",4.1
FitBit,FitnessBand,Alta HR,"16,999",4.3
FitBit,Smartwatch,Versa Lite Edition,"16,999",4.2
FitBit,Smartwatch,Versa,"17,895",4.2
Oppo,Smartwatch,41mm,"17,990",3.9
FitBit,Smartwatch,Versa 3,"17,999",4.3
FitBit,Smartwatch,Versa 3,"17,999",4.3
FitBit,Smartwatch,Blaze,"17,999",4.2
FitBit,Smartwatch,Ionic,"18,999",4.1
FitBit,Smartwatch,Surge,"19,990",3.8
FitBit,Smartwatch,Blaze,"19,999",4.2
Honor,FitnessBand,Band 5,"2,099",4.4
Xiaomi,FitnessBand,Smart Band 4,"2,099",4.2
Honor,FitnessBand,Band 5,"2,199",4.4
Huawei,FitnessBand,Band 2 Pro Activity,"2,199",4.1
Noise,FitnessBand,ColorFit,"2,199",3.6
Honor,FitnessBand,Band 5i,"2,469",4.2
Xiaomi,FitnessBand,Smart Band 5,"2,469",4.1
Xiaomi,FitnessBand,Band 2,"2,499",4.3
Honor,FitnessBand,Band 3,"2,499",4.3
Honor,FitnessBand,Band 3,"2,499",4.3
OnePlus ,FitnessBand,Band,"2,499",4.2
Xiaomi,FitnessBand,Smart Band 5,"2,499",4.1
Honor,FitnessBand,Band 4,"2,599",4.4
Honor,FitnessBand,Band 4,"2,700",4.4
Honor,FitnessBand,Band 5,"2,899",4.4
LCARE,Smartwatch,Watch,"2,995",3.5
Honor,FitnessBand,Band 6,"2,999",4.3
realme,FitnessBand,Band 2,"2,999",4.1
GOQii,FitnessBand,Beat,"2,999",2.8
FitBit,Smartwatch,Versa,"20,590",4.1
FitBit,Smartwatch,Sense,"21,499",4.2
FitBit,Smartwatch,versa,"21,499",4.1
FitBit,Smartwatch,Ionic,"22,499",4.1
FitBit,Smartwatch,Blaze,"22,999",4.2
FitBit,Smartwatch,Surge,"24,990",3.8
FitBit,Smartwatch,Surge,"24,990",3.8
FitBit,Smartwatch,Ionic,"26,499",4.1
OnePlus ,FitnessBand,Steven Harrington Edition Band,"3,299",4.3
realme,Smartwatch,2S,"3,499",4.2
GOQii,FitnessBand,Vital 3.0,"3,999",3.1
Huawei,FitnessBand,Band 6,"4,490",4.4
Huawei,FitnessBand,Band 2,"4,599",4.1
Honor,FitnessBand,Band 3,"4,750",4.3
realme,Smartwatch,2 Pro,"4,999",4.4
realme,Smartwatch,S,"4,999",4.3
FitBit,FitnessBand,Inspire,"5,299",4.2
Honor,FitnessBand,Band Z1,"5,499",3.9
FitBit,FitnessBand,Inspire HR,"5,598",4.3
FitBit,FitnessBand,Inspire HR,"5,599",4.3
FitBit,FitnessBand,Inspire HR,"5,899",4.3
realme,Smartwatch,S,"6,779",4.3
FitBit,FitnessBand,Charge HR,"6,990",3.9
FitBit,FitnessBand,Inspire 2,"6,999",4.4
Huawei,FitnessBand,Band 2,"6,999",4.2
FitBit,FitnessBand,Charge 2,"7,498",4.3
FitBit,FitnessBand,Charge 2,"7,499",4.3
FitBit,FitnessBand,Charge 2,"7,499",4.3
FitBit,FitnessBand,Charge 3,"7,599",4.3
FitBit,FitnessBand,Inspire,"7,990",4.2
FitBit,FitnessBand,Flex Small,"8,490",3.8
FitBit,FitnessBand,FB413LVLV,"8,807",4.1
FitBit,FitnessBand,Charge 2,"8,999",4.4
FitBit,FitnessBand,Charge 3,"9,999",4.3
FitBit,FitnessBand,Charge 4,"9,999",4.2
FitBit,FitnessBand,Charge 3 Special Edition,"9,999",4.0
FitBit,Smartwatch,Surge,"9,999",3.8
